"to_date","count_new_cases"
2021-07-16,83265
2021-07-17,51926
2021-07-18,25
2021-07-20,2551
2021-07-21,4269
2021-07-22,3335
2021-07-23,6503
2021-07-24,2209
2021-07-25,7427
2021-07-27,2190
2021-07-28,1697
2021-07-29,1057
2021-07-30,679
2021-08-01,110554
2021-08-02,33924
2021-08-03,24088
2021-08-04,20693
2021-08-05,9692
2021-08-06,252
2021-08-07,1597
2021-08-08,10316
2021-08-09,3506
2021-08-10,1628
2021-08-11,2695
2021-08-12,5960
2021-08-13,2700
2021-08-15,135007
2021-08-16,16661
2021-08-17,21763
2021-08-18,5196
2021-08-20,13764
2021-08-23,1221
2021-08-24,4988
2021-08-27,57506
2021-08-29,3762
2021-09-01,48168
2021-09-06,59935
2021-09-07,901
2021-09-08,952
2021-09-10,2872
2021-09-12,28702
2021-09-13,6753
2021-09-14,81
2021-09-16,69
2021-09-17,11263
2021-09-19,59634
2021-09-21,60
2021-09-22,35676
2021-09-23,7342
2021-10-05,93641
2021-10-09,15708
2021-10-10,11754
2021-10-11,35197
2021-10-12,18337
2021-10-13,2591
2021-10-14,1942
2021-10-15,48278
2021-10-17,16214
2021-10-18,3402
2021-10-20,10830
2021-10-21,1506
2021-10-22,3293
2021-10-24,13673
2021-10-25,9286
2021-10-26,15227
2021-10-27,501
2021-10-29,3429
2021-10-31,7353
2021-11-02,23589
2021-11-03,30603
2021-11-04,12665
2021-11-07,10669
2021-11-08,17905
2021-11-10,5521
2021-11-11,8217
2021-11-14,10063
2021-11-16,31559
2021-11-18,5402
2021-11-19,7471
2021-11-21,39791
2021-11-22,14553
2021-11-24,32942
2021-11-26,11858
2021-12-01,70372
2021-12-04,41418
2021-12-05,22174
2021-12-06,11599
2021-12-07,5892
2021-12-10,17331
2021-12-12,17396
2021-12-14,6557
2021-12-16,34149
2021-12-19,39427
2021-12-21,8193
2021-12-23,18428
2021-12-26,32657
2021-12-28,46181
2021-12-30,18500
