to_date,works
02/07/2018,8898
03/07/2018,16666
04/07/2018,8322
05/07/2018,27048
06/07/2018,16298
07/07/2018,2158
08/07/2018,254
09/07/2018,1944
10/07/2018,11065
11/07/2018,5300
12/07/2018,1865
13/07/2018,5744
14/07/2018,1714
16/07/2018,4315
17/07/2018,7611
18/07/2018,3458
19/07/2018,6573
20/07/2018,16336
21/07/2018,1057
22/07/2018,522
23/07/2018,3654
24/07/2018,3563
25/07/2018,15524
26/07/2018,9231
27/07/2018,10475
28/07/2018,1845
29/07/2018,4873
30/07/2018,5646
31/07/2018,8967
01/08/2018,21420
02/08/2018,5616
03/08/2018,9685
04/08/2018,827
05/08/2018,4025
06/08/2018,3395
07/08/2018,3502
08/08/2018,12207
09/08/2018,5861
10/08/2018,5269
11/08/2018,3662
12/08/2018,699
13/08/2018,8715
14/08/2018,3398
16/08/2018,11257
17/08/2018,24354
18/08/2018,11160
19/08/2018,608
20/08/2018,7813
21/08/2018,12857
22/08/2018,11347
23/08/2018,5604
24/08/2018,12935
25/08/2018,1736
26/08/2018,131
27/08/2018,4374
28/08/2018,6126
29/08/2018,7316
30/08/2018,10226
31/08/2018,16350
01/09/2018,2295
02/09/2018,332
03/09/2018,23291
04/09/2018,6469
05/09/2018,8978
06/09/2018,31538
07/09/2018,4949
08/09/2018,1525
09/09/2018,332
10/09/2018,15255
11/09/2018,19532
12/09/2018,17863
13/09/2018,9990
14/09/2018,11247
15/09/2018,8674
16/09/2018,791
17/09/2018,9261
18/09/2018,14294
19/09/2018,5007
20/09/2018,10800
21/09/2018,20091
22/09/2018,3453
23/09/2018,86
24/09/2018,20978
25/09/2018,14625
26/09/2018,11310
27/09/2018,4489
28/09/2018,12742
29/09/2018,1851
30/09/2018,417
01/10/2018,12858
02/10/2018,18392
03/10/2018,6486
04/10/2018,5218
05/10/2018,15418
06/10/2018,14620
07/10/2018,356
08/10/2018,10683
09/10/2018,12901
10/10/2018,16108
11/10/2018,4271
12/10/2018,20326
13/10/2018,3900
14/10/2018,452
15/10/2018,18633
16/10/2018,18400
17/10/2018,16276
18/10/2018,9606
19/10/2018,32751
20/10/2018,5424
21/10/2018,3184
22/10/2018,46528
23/10/2018,13544
24/10/2018,13121
25/10/2018,27452
26/10/2018,13226
27/10/2018,1198
28/10/2018,290
29/10/2018,11649
30/10/2018,25807
31/10/2018,12121
01/11/2018,6778
02/11/2018,9133
03/11/2018,1005
04/11/2018,182
05/11/2018,11167
06/11/2018,19312
07/11/2018,13803
08/11/2018,9946
09/11/2018,14968
10/11/2018,9845
11/11/2018,347
12/11/2018,30588
13/11/2018,14298
14/11/2018,7582
15/11/2018,8963
16/11/2018,20877
